iterations,max_attempts,pop,mutation,best_fitness,time
5,100,100,0.05,40.0,0.04686260223388672
5,100,100,0.1,41.0,0.06238603591918945
5,100,100,0.2,42.0,0.0624852180480957
5,100,200,0.05,43.0,0.1249704360961914
5,100,200,0.1,42.0,0.10939693450927734
5,100,200,0.2,41.0,0.12493681907653809
10,100,100,0.05,40.0,0.10934877395629883
10,100,100,0.1,41.0,0.10934948921203613
10,100,100,0.2,42.0,0.1249704360961914
10,100,200,0.05,44.0,0.21869707107543945
10,100,200,0.1,42.0,0.21870136260986328
10,100,200,0.2,45.0,0.24997568130493164
15,100,100,0.05,42.0,0.15621471405029297
15,100,100,0.1,41.0,0.15620994567871094
15,100,100,0.2,42.0,0.17183470726013184
15,100,200,0.05,44.0,0.29679322242736816
15,100,200,0.1,44.0,0.32804441452026367
15,100,200,0.2,45.0,0.3592531681060791
20,100,100,0.05,42.0,0.21869778633117676
20,100,100,0.1,41.0,0.2187333106994629
20,100,100,0.2,42.0,0.2342853546142578
20,100,200,0.05,46.0,0.4061894416809082
20,100,200,0.1,44.0,0.4217805862426758
20,100,200,0.2,45.0,0.46256208419799805
25,100,100,0.05,44.0,0.2655627727508545
25,100,100,0.1,43.0,0.28118348121643066
25,100,100,0.2,42.0,0.29680538177490234
25,100,200,0.05,46.0,0.5311253070831299
25,100,200,0.1,44.0,0.5467467308044434
25,100,200,0.2,45.0,0.5936100482940674
30,100,100,0.05,44.0,0.3124268054962158
30,100,100,0.1,43.0,0.34366917610168457
30,100,100,0.2,42.0,0.35928916931152344
30,100,200,0.05,46.0,0.6092321872711182
30,100,200,0.1,44.0,0.6248526573181152
30,100,200,0.2,45.0,0.7029614448547363
35,100,100,0.05,44.0,0.35929203033447266
35,100,100,0.1,44.0,0.3749103546142578
35,100,100,0.2,42.0,0.42177557945251465
35,100,200,0.05,46.0,0.7342026233673096
35,100,200,0.1,44.0,0.7699542045593262
35,100,200,0.2,45.0,0.8279287815093994
40,100,100,0.05,44.0,0.3905327320098877
40,100,100,0.1,44.0,0.42177605628967285
40,100,100,0.2,42.0,0.4686398506164551
40,100,200,0.05,46.0,0.8123106956481934
40,100,200,0.1,44.0,0.8592088222503662
40,100,200,0.2,45.0,0.9372448921203613
45,100,100,0.05,44.0,0.4530172348022461
45,100,100,0.1,44.0,0.4686408042907715
45,100,100,0.2,42.0,0.5467462539672852
45,100,200,0.05,46.0,0.9216585159301758
45,100,200,0.1,44.0,0.9555099010467529
45,100,200,0.2,45.0,1.093458890914917
50,100,100,0.05,44.0,0.5155038833618164
50,100,100,0.1,44.0,0.5467813014984131
50,100,100,0.2,42.0,0.5935757160186768
50,100,200,0.05,46.0,0.9997832775115967
50,100,200,0.1,44.0,1.077868938446045
50,100,200,0.2,45.0,1.155977725982666
55,100,100,0.05,44.0,0.54671311378479
55,100,100,0.1,45.0,0.5936098098754883
55,100,100,0.2,42.0,0.6631064414978027
55,100,200,0.05,46.0,1.0935139656066895
55,100,200,0.1,44.0,1.1871838569641113
55,100,200,0.2,45.0,1.2653725147247314
60,100,100,0.05,44.0,0.5779948234558105
60,100,100,0.1,45.0,0.6248507499694824
60,100,100,0.2,42.0,0.6717209815979004
60,100,200,0.05,46.0,1.1871838569641113
60,100,200,0.1,44.0,1.3186955451965332
60,100,200,0.2,45.0,1.390333890914917
65,100,100,0.05,44.0,0.6248552799224854
65,100,100,0.1,45.0,0.6717166900634766
65,100,100,0.2,42.0,0.7342374324798584
65,100,200,0.05,46.0,1.4371652603149414
65,100,200,0.1,44.0,1.9291188716888428
65,100,200,0.2,45.0,1.512660026550293
70,100,100,0.05,44.0,0.7029597759246826
70,100,100,0.1,45.0,0.7342009544372559
70,100,100,0.2,42.0,0.9060771465301514
70,100,200,0.05,46.0,1.6916699409484863
70,100,200,0.1,44.0,1.8120713233947754
70,100,200,0.2,45.0,1.6714832782745361
75,100,100,0.05,44.0,0.7825973033905029
75,100,100,0.1,45.0,0.7967219352722168
75,100,100,0.2,43.0,0.8903825283050537
75,100,200,0.05,46.0,1.5309250354766846
75,100,200,0.1,44.0,1.6558253765106201
75,100,200,0.2,45.0,1.8433167934417725
80,100,100,0.05,44.0,0.8123092651367188
80,100,100,0.1,45.0,0.8748409748077393
80,100,100,0.2,43.0,0.9372425079345703
80,100,200,0.05,46.0,1.6402392387390137
80,100,200,0.1,44.0,1.8120744228363037
80,100,200,0.2,45.0,2.2026400566101074
85,100,100,0.05,44.0,0.9140439033508301
85,100,100,0.1,45.0,0.9216601848602295
85,100,100,0.2,43.0,1.0153851509094238
85,100,200,0.05,46.0,1.8433184623718262
85,100,200,0.1,44.0,1.7964885234832764
85,100,200,0.2,45.0,2.0151143074035645
90,100,100,0.05,44.0,0.9286661148071289
90,100,100,0.1,45.0,0.984144926071167
90,100,100,0.2,43.0,1.0779058933258057
90,100,200,0.05,46.0,1.8589041233062744
90,100,200,0.1,44.0,1.9526662826538086
90,100,200,0.2,45.0,2.1321215629577637
95,100,100,0.05,44.0,0.952897310256958
95,100,100,0.1,45.0,1.030972957611084
95,100,100,0.2,43.0,1.156012773513794
95,100,200,0.05,47.0,1.9526317119598389
95,100,200,0.1,44.0,2.0620155334472656
95,100,200,0.2,45.0,2.2963340282440186
100,100,100,0.05,44.0,1.0622889995574951
100,100,100,0.1,45.0,1.0465919971466064
100,100,100,0.2,43.0,1.1716322898864746
100,100,200,0.05,47.0,2.077604055404663
100,100,200,0.1,44.0,2.181377649307251
100,100,200,0.2,45.0,2.3588194847106934
105,100,100,0.05,44.0,1.093529462814331
105,100,100,0.1,45.0,1.1247014999389648
105,100,100,0.2,43.0,1.2341206073760986
105,100,200,0.05,47.0,2.177837610244751
105,100,200,0.1,44.0,2.2963356971740723
105,100,200,0.2,45.0,2.4994122982025146
110,100,100,0.05,44.0,1.1247341632843018
110,100,100,0.1,45.0,1.2103874683380127
110,100,100,0.2,43.0,1.3121910095214844
110,100,200,0.05,47.0,2.3744421005249023
110,100,200,0.1,44.0,2.327571392059326
110,100,200,0.2,45.0,2.6948838233947754
115,100,100,0.05,44.0,1.2184622287750244
115,100,100,0.1,45.0,1.2653272151947021
115,100,100,0.2,43.0,1.359055519104004
115,100,200,0.05,47.0,2.3744401931762695
115,100,200,0.1,44.0,2.4626681804656982
115,100,200,0.2,45.0,2.4681341648101807
120,100,100,0.05,44.0,1.1872589588165283
120,100,100,0.1,45.0,1.249704122543335
120,100,100,0.2,43.0,1.3812918663024902
120,100,200,0.05,47.0,2.4837565422058105
120,100,200,0.1,44.0,2.499412775039673
120,100,200,0.2,45.0,2.5150325298309326
125,100,100,0.05,44.0,1.2809839248657227
125,100,100,0.1,45.0,1.3433995246887207
125,100,100,0.2,43.0,1.5308914184570312
125,100,200,0.05,47.0,2.5618979930877686
125,100,200,0.1,44.0,2.4050683975219727
125,100,200,0.2,45.0,2.4369287490844727
130,100,100,0.05,44.0,1.234118938446045
130,100,100,0.1,45.0,1.405885934829712
130,100,100,0.2,43.0,1.562134027481079
130,100,200,0.05,47.0,2.67124605178833
130,100,200,0.1,44.0,2.483825206756592
130,100,200,0.2,45.0,2.4681689739227295
135,100,100,0.05,44.0,1.2360942363739014
135,100,100,0.1,45.0,1.4215795993804932
135,100,100,0.2,43.0,1.5621304512023926
135,100,200,0.05,47.0,2.780562400817871
135,100,200,0.1,44.0,2.4837892055511475
135,100,200,0.2,45.0,2.5306942462921143
140,100,100,0.05,44.0,1.2340867519378662
140,100,100,0.1,45.0,1.437164306640625
140,100,100,0.2,43.0,1.640235185623169
140,100,200,0.05,47.0,2.873286008834839
140,100,200,0.1,44.0,2.405684232711792
140,100,200,0.2,45.0,2.5306203365325928
145,100,100,0.05,44.0,1.2340848445892334
