iterations,max_attempts,pop,keep-pct,best_fitness,time
5,100,100,0.1,49.0,6.2797722816467285
5,100,100,0.15,47.0,6.482852935791016
5,100,200,0.1,52.0,6.592200994491577
5,100,200,0.15,49.0,6.381511449813843
10,100,100,0.1,49.0,12.590190172195435
10,100,100,0.15,48.0,12.724267959594727
10,100,200,0.1,52.0,13.092255592346191
10,100,200,0.15,53.0,12.87201714515686
15,100,100,0.1,49.0,19.2816903591156
15,100,100,0.15,48.0,19.42221426963806
15,100,200,0.1,52.0,20.38130474090576
15,100,200,0.15,53.0,24.22692346572876
20,100,100,0.1,49.0,28.526722192764282
20,100,100,0.15,48.0,27.61024832725525
20,100,200,0.1,52.0,28.086160898208618
20,100,200,0.15,53.0,26.94860863685608
25,100,100,0.1,49.0,31.861734867095947
25,100,100,0.15,48.0,32.27047061920166
25,100,200,0.1,52.0,32.4826877117157
25,100,200,0.15,53.0,31.929930448532104
30,100,100,0.1,49.0,37.902228116989136
30,100,100,0.15,48.0,38.18239974975586
30,100,200,0.1,52.0,41.20650005340576
30,100,200,0.15,53.0,39.932743549346924
35,100,100,0.1,49.0,45.02086162567139
35,100,100,0.15,48.0,46.43400430679321
35,100,200,0.1,52.0,45.86863994598389
35,100,200,0.15,53.0,45.68288445472717
40,100,100,0.1,49.0,52.275476694107056
40,100,100,0.15,48.0,51.740670680999756
40,100,200,0.1,52.0,52.13863182067871
40,100,200,0.15,53.0,56.449387311935425
45,100,100,0.1,49.0,62.4193377494812
45,100,100,0.15,48.0,60.5094108581543
45,100,200,0.1,52.0,59.900163412094116
45,100,200,0.15,53.0,59.37561821937561
