iterations,max_attempts,restarts,best_fitness,time
5,100,50,38.0,0.014957904815673828
5,100,100,41.0,0.0279538631439209
10,100,50,41.0,0.024932146072387695
10,100,100,44.0,0.05086779594421387
15,100,50,44.0,0.03689289093017578
15,100,100,44.0,0.07579469680786133
20,100,50,43.0,0.04886269569396973
20,100,100,47.0,0.09674406051635742
25,100,50,44.0,0.060832977294921875
25,100,100,45.0,0.11868596076965332
30,100,50,47.0,0.06981468200683594
30,100,100,47.0,0.13863229751586914
35,100,50,44.0,0.08474016189575195
35,100,100,48.0,0.17955756187438965
40,100,50,48.0,0.09877228736877441
40,100,100,48.0,0.18849706649780273
45,100,50,48.0,0.11070132255554199
45,100,100,50.0,0.2114717960357666
50,100,50,49.0,0.11568355560302734
50,100,100,49.0,0.229386568069458
55,100,50,49.0,0.12466621398925781
55,100,100,49.0,0.2423548698425293
60,100,50,49.0,0.13663434982299805
60,100,100,51.0,0.2652912139892578
65,100,50,49.0,0.1436154842376709
65,100,100,49.0,0.29021763801574707
70,100,50,51.0,0.15458011627197266
70,100,100,51.0,0.3061802387237549
75,100,50,50.0,0.16455769538879395
75,100,100,51.0,0.33610057830810547
80,100,50,49.0,0.1745309829711914
80,100,100,51.0,0.34706878662109375
85,100,50,49.0,0.1855025291442871
85,100,100,51.0,0.3710062503814697
90,100,50,51.0,0.19748234748840332
90,100,100,52.0,0.38999032974243164
95,100,50,51.0,0.2074451446533203
95,100,100,53.0,0.40592074394226074
100,100,50,55.0,0.21642708778381348
100,100,100,55.0,0.43384218215942383
105,100,50,52.0,0.22737932205200195
105,100,100,52.0,0.4547855854034424
110,100,50,51.0,0.23836183547973633
110,100,100,53.0,0.4667489528656006
115,100,50,52.0,0.24634075164794922
115,100,100,53.0,0.4906880855560303
120,100,50,53.0,0.2573120594024658
120,100,100,54.0,0.5146112442016602
125,100,50,52.0,0.2672884464263916
125,100,100,54.0,0.5285830497741699
130,100,50,51.0,0.2812511920928955
130,100,100,52.0,0.5515639781951904
135,100,50,53.0,0.28826403617858887
135,100,100,54.0,0.5774950981140137
140,100,50,52.0,0.30515050888061523
140,100,100,53.0,0.7888908386230469
145,100,50,52.0,0.3969383239746094
145,100,100,52.0,0.7679462432861328
150,100,50,52.0,0.3969383239746094
150,100,100,54.0,0.7819089889526367
155,100,50,53.0,0.40391969680786133
155,100,100,53.0,0.8058452606201172
160,100,50,52.0,0.41788244247436523
160,100,100,52.0,0.8267889022827148
165,100,50,52.0,0.42885303497314453
165,100,100,53.0,0.8477330207824707
170,100,50,54.0,0.4448103904724121
170,100,100,54.0,0.8776531219482422
175,100,50,51.0,0.45378637313842773
175,100,100,53.0,0.8876264095306396
180,100,50,51.0,0.46276235580444336
180,100,100,52.0,0.910564661026001
185,100,50,52.0,0.4577755928039551
185,100,100,53.0,0.9055783748626709
190,100,50,53.0,0.48171162605285645
190,100,100,53.0,0.9484632015228271
195,100,50,51.0,0.491685152053833
195,100,100,53.0,0.9594342708587646
200,100,50,52.0,0.49567437171936035
200,100,100,53.0,0.9863624572753906
205,100,50,53.0,0.4996635913848877
205,100,100,53.0,0.9614291191101074
210,100,50,52.0,0.5086395740509033
210,100,100,54.0,0.9076101779937744
215,100,50,54.0,0.39888834953308105
215,100,100,54.0,0.7998967170715332
220,100,50,52.0,0.4239158630371094
220,100,100,52.0,0.8307874202728271
225,100,50,54.0,0.42087817192077637
225,100,100,54.0,0.8237996101379395
230,100,50,53.0,0.42589879035949707
230,100,100,53.0,0.8367595672607422
235,100,50,53.0,0.41491246223449707
235,100,100,54.0,0.833773136138916
240,100,50,54.0,0.4218721389770508
240,100,100,54.0,0.8237950801849365
245,100,50,53.0,0.4268949031829834
245,100,100,53.0,0.841749906539917
