iterations,max_attempts,schedule,best_fitness,time
5,150,geom,31.0,0.0009865760803222656
5,150,exp,31.0,0.0010340213775634766
5,150,arith,31.0,0.0
10,150,geom,36.0,0.0009946823120117188
10,150,exp,36.0,0.0009992122650146484
10,150,arith,36.0,0.000957489013671875
15,150,geom,38.0,0.0009970664978027344
15,150,exp,38.0,0.0009970664978027344
15,150,arith,38.0,0.0009617805480957031
20,150,geom,40.0,0.0010027885437011719
20,150,exp,40.0,0.0009970664978027344
20,150,arith,40.0,0.0009984970092773438
25,150,geom,40.0,0.0010030269622802734
25,150,exp,40.0,0.001983165740966797
25,150,arith,38.0,0.001999378204345703
30,150,geom,44.0,0.001992464065551758
30,150,exp,44.0,0.001994609832763672
30,150,arith,42.0,0.0019941329956054688
35,150,geom,44.0,0.0019979476928710938
35,150,exp,44.0,0.002035379409790039
35,150,arith,42.0,0.0019953250885009766
40,150,geom,46.0,0.001995086669921875
40,150,exp,44.0,0.0019974708557128906
40,150,arith,42.0,0.002000093460083008
45,150,geom,46.0,0.0029935836791992188
45,150,exp,44.0,0.00299835205078125
45,150,arith,42.0,0.0030024051666259766
50,150,geom,47.0,0.0030007362365722656
50,150,exp,45.0,0.004000663757324219
50,150,arith,43.0,0.002991914749145508
55,150,geom,48.0,0.0029859542846679688
55,150,exp,46.0,0.0030303001403808594
55,150,arith,45.0,0.0029993057250976562
60,150,geom,48.0,0.00398707389831543
60,150,exp,46.0,0.0039861202239990234
60,150,arith,45.0,0.002991914749145508
65,150,geom,46.0,0.003993988037109375
65,150,exp,44.0,0.003988981246948242
65,150,arith,43.0,0.0039899349212646484
70,150,geom,46.0,0.003989458084106445
70,150,exp,46.0,0.003990650177001953
70,150,arith,43.0,0.003991603851318359
75,150,geom,48.0,0.003991603851318359
75,150,exp,45.0,0.004984855651855469
75,150,arith,46.0,0.004992008209228516
80,150,geom,48.0,0.004995584487915039
80,150,exp,47.0,0.004990339279174805
80,150,arith,46.0,0.004992961883544922
85,150,geom,50.0,0.004979848861694336
85,150,exp,49.0,0.005999326705932617
85,150,arith,48.0,0.004983425140380859
90,150,geom,48.0,0.005978584289550781
90,150,exp,49.0,0.0049860477447509766
90,150,arith,50.0,0.005983114242553711
95,150,geom,48.0,0.00497889518737793
95,150,exp,49.0,0.005983829498291016
95,150,arith,50.0,0.005952358245849609
100,150,geom,48.0,0.005984306335449219
100,150,exp,49.0,0.00598907470703125
100,150,arith,48.0,0.005984306335449219
105,150,geom,48.0,0.005983591079711914
105,150,exp,51.0,0.0069806575775146484
105,150,arith,46.0,0.005986928939819336
110,150,geom,48.0,0.005983114242553711
110,150,exp,51.0,0.006979703903198242
110,150,arith,46.0,0.005978822708129883
115,150,geom,48.0,0.007944583892822266
115,150,exp,51.0,0.006983280181884766
115,150,arith,46.0,0.0069806575775146484
120,150,geom,48.0,0.0070116519927978516
120,150,exp,51.0,0.00797891616821289
120,150,arith,42.0,0.006949424743652344
125,150,geom,49.0,0.00797724723815918
125,150,exp,51.0,0.007978200912475586
125,150,arith,44.0,0.007962942123413086
130,150,geom,49.0,0.007985591888427734
130,150,exp,49.0,0.008974790573120117
130,150,arith,42.0,0.007978677749633789
135,150,geom,51.0,0.007983684539794922
135,150,exp,49.0,0.008977651596069336
135,150,arith,42.0,0.00797724723815918
140,150,geom,51.0,0.007970809936523438
