iterations,max_attempts,pop,mutation,best_fitness,time
5,100,100,0.05,63.0,0.06782054901123047
5,100,100,0.1,62.0,0.06981277465820312
5,100,100,0.2,15.0,0.12167191505432129
5,100,200,0.05,62.0,0.16156673431396484
5,100,200,0.1,62.0,0.18350958824157715
5,100,200,0.2,56.0,0.16755175590515137
10,100,100,0.05,67.0,0.1466078758239746
10,100,100,0.1,67.0,0.1396169662475586
10,100,100,0.2,61.0,0.15557432174682617
10,100,200,0.05,63.0,0.26628804206848145
10,100,200,0.1,63.0,0.2922196388244629
10,100,200,0.2,59.0,0.3082151412963867
15,100,100,0.05,67.0,0.2014603614807129
15,100,100,0.1,67.0,0.21645712852478027
15,100,100,0.2,61.0,0.24232077598571777
15,100,200,0.05,68.0,0.4118998050689697
15,100,200,0.1,63.0,0.4239053726196289
15,100,200,0.2,62.0,0.45183253288269043
20,100,100,0.05,67.0,0.27423596382141113
20,100,100,0.1,67.0,0.2613377571105957
20,100,100,0.2,61.0,0.305187463760376
20,100,200,0.05,68.0,0.5585432052612305
20,100,200,0.1,67.0,0.5534899234771729
20,100,200,0.2,62.0,0.5864319801330566
25,100,100,0.05,67.0,0.3202686309814453
25,100,100,0.1,67.0,0.3979206085205078
25,100,100,0.2,62.0,0.364107608795166
25,100,200,0.05,68.0,0.647235631942749
25,100,200,0.1,67.0,0.6702117919921875
25,100,200,0.2,63.0,0.7051470279693604
30,100,100,0.05,67.0,0.4059140682220459
30,100,100,0.1,67.0,0.39995479583740234
30,100,100,0.2,62.0,0.4278542995452881
30,100,200,0.05,68.0,0.7769298553466797
30,100,200,0.1,67.0,0.8138229846954346
30,100,200,0.2,63.0,0.858729362487793
35,100,100,0.05,67.0,0.44783687591552734
35,100,100,0.1,67.0,0.4527871608734131
35,100,100,0.2,62.0,0.47672581672668457
35,100,200,0.05,68.0,0.8816821575164795
35,100,200,0.1,67.0,0.9085705280303955
35,100,200,0.2,63.0,0.9504785537719727
40,100,100,0.05,67.0,0.5146222114562988
40,100,100,0.1,67.0,0.518648624420166
40,100,100,0.2,64.0,0.5445635318756104
40,100,200,0.05,68.0,1.0044591426849365
40,100,200,0.1,67.0,1.0731306076049805
40,100,200,0.2,63.0,1.1399672031402588
45,100,100,0.05,67.0,0.5658268928527832
45,100,100,0.1,71.0,0.5794503688812256
45,100,100,0.2,64.0,0.6143569946289062
45,100,200,0.05,68.0,1.1229970455169678
45,100,200,0.1,67.0,1.1509225368499756
45,100,200,0.2,63.0,1.226719617843628
50,100,100,0.05,67.0,0.6203410625457764
50,100,100,0.1,71.0,0.6343040466308594
50,100,100,0.2,64.0,0.682175874710083
50,100,200,0.05,68.0,1.2436740398406982
50,100,200,0.1,67.0,1.2855470180511475
50,100,200,0.2,63.0,1.3653590679168701
55,100,100,0.05,67.0,0.676192045211792
55,100,100,0.1,71.0,0.7021224498748779
55,100,100,0.2,64.0,0.7539834976196289
55,100,200,0.05,68.0,1.3996906280517578
55,100,200,0.1,68.0,1.4369299411773682
55,100,200,0.2,63.0,1.4840319156646729
60,100,100,0.05,67.0,0.7380263805389404
60,100,100,0.1,71.0,0.7769227027893066
60,100,100,0.2,64.0,0.8118288516998291
60,100,200,0.05,68.0,1.4920103549957275
60,100,200,0.1,68.0,1.584775686264038
60,100,200,0.2,63.0,1.6223270893096924
65,100,100,0.05,67.0,0.8138236999511719
65,100,100,0.1,71.0,0.8337705135345459
65,100,100,0.2,64.0,0.8866293430328369
65,100,200,0.05,77.0,1.6186716556549072
65,100,200,0.1,68.0,1.6816344261169434
65,100,200,0.2,63.0,1.7563412189483643
70,100,100,0.05,67.0,0.8636908531188965
70,100,100,0.1,71.0,0.899630069732666
70,100,100,0.2,64.0,0.9454736709594727
70,100,200,0.05,77.0,1.7363576889038086
70,100,200,0.1,68.0,1.852039098739624
70,100,200,0.2,63.0,1.9557700157165527
75,100,100,0.05,67.0,0.9514944553375244
75,100,100,0.1,71.0,1.0302486419677734
75,100,100,0.2,64.0,1.0900862216949463
75,100,200,0.05,77.0,1.9936716556549072
75,100,200,0.1,68.0,2.123330593109131
75,100,200,0.2,63.0,2.0973918437957764
80,100,100,0.05,67.0,1.0162827968597412
80,100,100,0.1,71.0,1.1040480136871338
80,100,100,0.2,64.0,1.1385111808776855
80,100,200,0.05,77.0,2.068516731262207
80,100,200,0.1,68.0,2.4234883785247803
80,100,200,0.2,63.0,2.5692646503448486
85,100,100,0.05,67.0,1.0970959663391113
85,100,100,0.1,71.0,1.4225940704345703
85,100,100,0.2,64.0,1.2676105499267578
85,100,200,0.05,77.0,2.5422773361206055
85,100,200,0.1,68.0,2.783571243286133
85,100,200,0.2,63.0,2.590440273284912
90,100,100,0.05,67.0,1.2326688766479492
90,100,100,0.1,71.0,1.2965331077575684
90,100,100,0.2,64.0,1.2706029415130615
