iterations,max_attempts,pop,keep-pct,best_fitness,time
5,50,100,0.1,59.0,4.465062618255615
5,50,100,0.15,61.0,5.36861252784729
5,50,200,0.1,66.0,5.389734983444214
5,50,200,0.15,67.0,5.431039094924927
10,50,100,0.1,59.0,10.69737195968628
10,50,100,0.15,61.0,10.57176923751831
10,50,200,0.1,66.0,10.583783149719238
10,50,200,0.15,69.0,10.969672203063965
15,50,100,0.1,59.0,16.546794414520264
15,50,100,0.15,61.0,16.62750792503357
15,50,200,0.1,66.0,16.88688325881958
15,50,200,0.15,79.0,16.977577209472656
20,50,100,0.1,59.0,22.23555016517639
20,50,100,0.15,61.0,21.52067470550537
20,50,200,0.1,66.0,22.324349403381348
20,50,200,0.15,79.0,22.834386110305786
25,50,100,0.1,59.0,27.101808547973633
25,50,100,0.15,61.0,27.354899406433105
25,50,200,0.1,66.0,27.523256063461304
25,50,200,0.15,79.0,27.048899173736572
30,50,100,0.1,59.0,29.087997674942017
30,50,100,0.15,61.0,29.612978219985962
30,50,200,0.1,66.0,29.19418478012085
30,50,200,0.15,79.0,30.285484552383423
35,50,100,0.1,59.0,32.71336269378662
35,50,100,0.15,61.0,32.933778524398804
35,50,200,0.1,66.0,33.61281681060791
35,50,200,0.15,79.0,33.3388671875
40,50,100,0.1,59.0,36.99293899536133
40,50,100,0.15,61.0,38.45782399177551
40,50,200,0.1,66.0,38.5250608921051
40,50,200,0.15,79.0,42.987266302108765
45,50,100,0.1,59.0,50.82783555984497
45,50,100,0.15,61.0,45.78610444068909
45,50,200,0.1,66.0,46.82122540473938
45,50,200,0.15,79.0,49.65400576591492
