iterations,max_attempts,restarts,best_fitness,time
5,100,50,9.0,0.0069828033447265625
5,100,100,56.0,0.012986421585083008
10,100,50,7.0,0.012002229690551758
10,100,100,8.0,0.023935794830322266
15,100,50,9.0,0.01695418357849121
15,100,100,9.0,0.03294563293457031
20,100,50,10.0,0.021976470947265625
20,100,100,10.0,0.043877601623535156
25,100,50,13.0,0.02791905403137207
25,100,100,14.0,0.05488324165344238
30,100,50,61.0,0.039893388748168945
30,100,100,61.0,0.07878875732421875
35,100,50,15.0,0.046874284744262695
35,100,100,56.0,0.09272909164428711
40,100,50,10.0,0.05285787582397461
40,100,100,11.0,0.10372257232666016
45,100,50,16.0,0.05784296989440918
45,100,100,16.0,0.11967968940734863
50,100,50,12.0,0.06682038307189941
50,100,100,12.0,0.12965154647827148
55,100,50,18.0,0.05987405776977539
55,100,100,57.0,0.11772584915161133
60,100,50,13.0,0.06482791900634766
60,100,100,19.0,0.1266765594482422
65,100,50,9.0,0.07383465766906738
65,100,100,68.0,0.14062952995300293
70,100,50,19.0,0.07678747177124023
70,100,100,19.0,0.15059781074523926
75,100,50,61.0,0.08473968505859375
75,100,100,61.0,0.16256499290466309
80,100,50,60.0,0.08780288696289062
80,100,100,63.0,0.1685492992401123
85,100,50,16.0,0.0977027416229248
85,100,100,70.0,0.1835176944732666
90,100,50,15.0,0.09973430633544922
90,100,100,65.0,0.1934826374053955
95,100,50,21.0,0.10671305656433105
95,100,100,68.0,0.20345234870910645
100,100,50,63.0,0.1087181568145752
100,100,100,63.0,0.21642327308654785
105,100,50,57.0,0.11269712448120117
105,100,100,64.0,0.2284243106842041
110,100,50,18.0,0.11871600151062012
110,100,100,59.0,0.23436880111694336
115,100,50,21.0,0.12470149993896484
115,100,100,21.0,0.2483692169189453
120,100,50,63.0,0.12968778610229492
120,100,100,63.0,0.26628804206848145
125,100,50,64.0,0.1326446533203125
125,100,100,64.0,0.26532745361328125
130,100,50,18.0,0.13862991333007812
130,100,100,20.0,0.2762918472290039
135,100,50,62.0,0.14261770248413086
135,100,100,62.0,0.28523683547973633
140,100,50,64.0,0.14657187461853027
140,100,100,65.0,0.29121828079223633
145,100,50,67.0,0.15364360809326172
145,100,100,67.0,0.3031892776489258
150,100,50,56.0,0.15259456634521484
150,100,100,56.0,0.3141593933105469
155,100,50,60.0,0.15757441520690918
155,100,100,60.0,0.30817580223083496
160,100,50,67.0,0.16958189010620117
160,100,100,67.0,0.33610081672668457
165,100,50,67.0,0.17356657981872559
165,100,100,67.0,0.34610939025878906
170,100,50,70.0,0.17456912994384766
170,100,100,70.0,0.35109424591064453
175,100,50,67.0,0.17353582382202148
175,100,100,67.0,0.3470587730407715
180,100,50,68.0,0.1825120449066162
180,100,100,70.0,0.363034725189209
185,100,50,62.0,0.18852448463439941
185,100,100,71.0,0.36603498458862305
190,100,50,70.0,0.19451141357421875
190,100,100,70.0,0.3809819221496582
195,100,50,21.0,0.19546008110046387
195,100,100,62.0,0.39295005798339844
200,100,50,61.0,0.19447970390319824
200,100,100,66.0,0.38297533988952637
205,100,50,71.0,0.18450641632080078
205,100,100,71.0,0.37798476219177246
210,100,50,65.0,0.20843052864074707
210,100,100,68.0,0.4109063148498535
215,100,50,65.0,0.20745515823364258
215,100,100,65.0,0.40392398834228516
220,100,50,70.0,0.2154238224029541
220,100,100,70.0,0.42586803436279297
225,100,50,72.0,0.21442794799804688
225,100,100,72.0,0.41991090774536133
230,100,50,66.0,0.229386568069458
230,100,100,72.0,0.46275854110717773
235,100,50,26.0,0.22339773178100586
235,100,100,62.0,0.44082188606262207
240,100,50,32.0,0.22140836715698242
240,100,100,58.0,0.4338397979736328
245,100,50,41.0,0.23537111282348633
245,100,100,60.0,0.468747615814209
