iterations,max_attempts,schedule,best_fitness,time
5,150,geom,0.0,0.0
5,150,exp,0.0,0.0
5,150,arith,0.0,0.000997781753540039
10,150,geom,0.0,0.0
10,150,exp,0.0,0.0010151863098144531
10,150,arith,0.0,0.000997781753540039
15,150,geom,0.0,0.0009975433349609375
15,150,exp,0.0,0.0
15,150,arith,0.0,0.0
20,150,geom,2.0,0.0
20,150,exp,2.0,0.0
20,150,arith,2.0,0.000997304916381836
25,150,geom,2.0,0.0009970664978027344
25,150,exp,2.0,0.000997781753540039
25,150,arith,2.0,0.000997781753540039
30,150,geom,2.0,0.0009975433349609375
30,150,exp,2.0,0.0009970664978027344
30,150,arith,2.0,0.000997781753540039
35,150,geom,2.0,0.000997781753540039
35,150,exp,2.0,0.0019948482513427734
35,150,arith,2.0,0.0009970664978027344
40,150,geom,2.0,0.001995086669921875
40,150,exp,2.0,0.001994609832763672
40,150,arith,2.0,0.0009920597076416016
45,150,geom,1.0,0.0009970664978027344
45,150,exp,1.0,0.0029916763305664062
45,150,arith,1.0,0.0019948482513427734
50,150,geom,1.0,0.0019910335540771484
50,150,exp,1.0,0.001995086669921875
50,150,arith,1.0,0.001994609832763672
55,150,geom,2.0,0.001994609832763672
55,150,exp,2.0,0.001994609832763672
55,150,arith,2.0,0.0019948482513427734
60,150,geom,2.0,0.001995086669921875
60,150,exp,2.0,0.0019943714141845703
60,150,arith,2.0,0.0019943714141845703
65,150,geom,4.0,0.001994609832763672
65,150,exp,4.0,0.0019943714141845703
65,150,arith,4.0,0.002991914749145508
70,150,geom,4.0,0.001994609832763672
70,150,exp,4.0,0.0019941329956054688
70,150,arith,4.0,0.0019941329956054688
75,150,geom,4.0,0.0029921531677246094
75,150,exp,4.0,0.0029921531677246094
75,150,arith,4.0,0.002991914749145508
80,150,geom,4.0,0.002991914749145508
80,150,exp,4.0,0.001993894577026367
80,150,arith,4.0,0.0019941329956054688
85,150,geom,4.0,0.0029916763305664062
85,150,exp,4.0,0.0029921531677246094
85,150,arith,4.0,0.0029921531677246094
90,150,geom,4.0,0.0029916763305664062
90,150,exp,4.0,0.0029921531677246094
