algorithm,restarts,pop_size,mutation_prob,max_iters,learning_rate,layers,activation,early_stopping,train_error,test_error,time_elapsed,iterations,fitness
random_hill_climb,0,200,0.1,10,0.05,[10],relu,False,0.7788095238095238,0.7787777777777778,0.3961641788482666,10,-7.639648397826673
random_hill_climb,0,200,0.1,20,0.05,[10],relu,False,0.22195238095238096,0.2225555555555556,0.6949839591979979,20,-26.87343467337478
random_hill_climb,0,200,0.1,30,0.05,[10],relu,False,0.4217142857142857,0.4177777777777778,1.3747234344482422,30,-20.090669622842004
random_hill_climb,0,200,0.1,40,0.05,[10],relu,False,0.2335238095238095,0.23155555555555554,1.7307798862457275,40,-26.48395649430569
random_hill_climb,0,200,0.1,50,0.05,[10],relu,False,0.4772380952380952,0.4795555555555556,2.4400596618652344,50,-18.288149994035702
random_hill_climb,0,200,0.1,60,0.05,[10],relu,False,0.7787142857142857,0.7787777777777778,2.1757361888885502,60,-7.642937919330582
random_hill_climb,0,200,0.1,70,0.05,[10],relu,False,0.6699047619047619,0.6707777777777778,3.388502836227417,70,-11.681231145138021
random_hill_climb,0,200,0.1,80,0.05,[10],relu,False,0.7789047619047619,0.7784444444444445,2.936220169067384,80,-7.636359083837358
random_hill_climb,0,200,0.1,90,0.05,[10],relu,False,0.7786666666666666,0.7787777777777778,3.380056619644165,90,-7.647342179757517
random_hill_climb,0,200,0.1,100,0.05,[10],relu,False,0.7752380952380953,0.774,4.314281702041627,100,-7.8215305112673565
random_hill_climb,0,200,0.1,110,0.05,[10],relu,False,0.7717619047619048,0.769,5.180703639984131,110,-7.955181710791775
random_hill_climb,0,200,0.1,120,0.05,[10],relu,False,0.2370952380952381,0.2344444444444445,6.10779333114624,120,-26.525458894621906
random_hill_climb,0,200,0.1,130,0.05,[10],relu,False,0.5022380952380953,0.5035555555555555,5.852381944656372,130,-17.294456444505187
random_hill_climb,0,200,0.1,140,0.05,[10],relu,False,0.23004761904761906,0.2308888888888889,4.949312448501587,140,-26.646236422249146
random_hill_climb,0,200,0.1,150,0.05,[10],relu,False,0.7529047619047619,0.7517777777777778,6.539097547531128,150,-8.68281328825053
random_hill_climb,0,200,0.1,160,0.05,[10],relu,False,0.22614285714285715,0.2237777777777777,5.86830472946167,160,-26.762020155165448
random_hill_climb,0,200,0.1,170,0.05,[10],relu,False,0.22147619047619047,0.2215555555555556,5.381674289703369,170,-26.891604298807074
random_hill_climb,0,200,0.1,180,0.05,[10],relu,False,0.7787142857142857,0.7786666666666666,6.136160612106322,180,-7.6442536907022145
random_hill_climb,0,200,0.1,190,0.05,[10],relu,False,0.7783333333333333,0.7775555555555556,7.770229816436768,190,-7.854537158921407
