iterations,max_attempts,pop,mutation,best_fitness,time
5,100,100,0.05,25.0,0.09374618530273438
5,100,100,0.1,29.0,0.10072493553161621
5,100,100,0.2,24.0,0.10674905776977539
5,100,200,0.05,34.0,0.1974325180053711
5,100,200,0.1,33.0,0.19647431373596191
5,100,200,0.2,26.0,0.22140765190124512
10,100,100,0.05,27.0,0.17852234840393066
10,100,100,0.1,30.0,0.18550324440002441
10,100,100,0.2,29.0,0.20844173431396484
10,100,200,0.05,34.0,0.35702037811279297
10,100,200,0.1,33.0,0.4338245391845703
10,100,200,0.2,28.0,0.47073960304260254
15,100,100,0.05,33.0,0.26831865310668945
15,100,100,0.1,30.0,0.2752673625946045
15,100,100,0.2,29.0,0.30721402168273926
15,100,200,0.05,34.0,0.5744166374206543
15,100,200,0.1,33.0,0.6303472518920898
15,100,200,0.2,28.0,1.2117340564727783
20,100,100,0.05,33.0,0.4248642921447754
20,100,100,0.1,30.0,0.3830070495605469
20,100,100,0.2,29.0,0.413867712020874
20,100,200,0.05,34.0,0.6911838054656982
20,100,200,0.1,33.0,0.734067440032959
20,100,200,0.2,29.0,0.7939126491546631
25,100,100,0.05,33.0,0.42984700202941895
25,100,100,0.1,30.0,0.4528048038482666
25,100,100,0.2,29.0,0.5046486854553223
25,100,200,0.05,35.0,0.8616914749145508
25,100,200,0.1,33.0,0.9106020927429199
25,100,200,0.2,30.0,0.9953370094299316
30,100,100,0.05,33.0,0.5116348266601562
30,100,100,0.1,30.0,0.5455765724182129
30,100,100,0.2,29.0,0.5903944969177246
30,100,200,0.05,35.0,1.0152864456176758
30,100,200,0.1,33.0,1.143904447555542
30,100,200,0.2,30.0,1.2925760746002197
35,100,100,0.05,33.0,0.6432850360870361
35,100,100,0.1,30.0,0.6392910480499268
35,100,100,0.2,29.0,0.6821777820587158
35,100,200,0.05,35.0,1.188819169998169
35,100,200,0.1,33.0,1.2467014789581299
35,100,200,0.2,30.0,1.3594017028808594
40,100,100,0.05,33.0,0.6841704845428467
40,100,100,0.1,30.0,0.7081093788146973
40,100,100,0.2,36.0,0.7809493541717529
40,100,200,0.05,35.0,1.3483998775482178
40,100,200,0.1,33.0,1.4371693134307861
40,100,200,0.2,30.0,1.5708355903625488
45,100,100,0.05,34.0,0.7520236968994141
45,100,100,0.1,30.0,0.8048312664031982
45,100,100,0.2,36.0,0.8756618499755859
45,100,200,0.05,42.0,1.491001844406128
45,100,200,0.1,33.0,1.6296453475952148
45,100,200,0.2,30.0,1.8580660820007324
50,100,100,0.05,34.0,1.0202357769012451
50,100,100,0.1,30.0,1.0322437286376953
50,100,100,0.2,36.0,1.0163562297821045
50,100,200,0.05,42.0,1.7414066791534424
50,100,200,0.1,33.0,1.8889296054840088
50,100,200,0.2,30.0,2.4109952449798584
55,100,100,0.05,34.0,1.0501911640167236
55,100,100,0.1,31.0,1.072160005569458
55,100,100,0.2,36.0,1.0781617164611816
55,100,200,0.05,42.0,1.8750216960906982
55,100,200,0.1,33.0,2.0695016384124756
55,100,200,0.2,30.0,2.371546745300293
60,100,100,0.05,34.0,1.053182601928711
60,100,100,0.1,31.0,1.117056131362915
60,100,100,0.2,36.0,1.2107622623443604
60,100,200,0.05,42.0,3.71805477142334
60,100,200,0.1,33.0,3.0149734020233154
60,100,200,0.2,30.0,2.5319204330444336
65,100,100,0.05,35.0,1.183823823928833
65,100,100,0.1,31.0,1.2364163398742676
65,100,100,0.2,36.0,1.3524088859558105
65,100,200,0.05,48.0,2.364713668823242
65,100,200,0.1,33.0,2.5242502689361572
65,100,200,0.2,30.0,2.755648136138916
70,100,100,0.05,41.0,1.2653026580810547
70,100,100,0.1,31.0,1.3264553546905518
70,100,100,0.2,36.0,1.423229455947876
70,100,200,0.05,48.0,2.702810049057007
70,100,200,0.1,33.0,2.6658742427825928
70,100,200,0.2,30.0,2.9440250396728516
75,100,100,0.05,41.0,1.3084967136383057
75,100,100,0.1,31.0,1.449129581451416
75,100,100,0.2,36.0,1.5578677654266357
75,100,200,0.05,48.0,2.618997573852539
75,100,200,0.1,33.0,2.9640984535217285
75,100,200,0.2,30.0,3.161515712738037
80,100,100,0.05,43.0,1.4361839294433594
80,100,100,0.1,31.0,1.513988971710205
80,100,100,0.2,36.0,1.6994564533233643
80,100,200,0.05,49.0,2.843433380126953
80,100,200,0.1,33.0,3.0647828578948975
80,100,200,0.2,30.0,3.734282970428467
85,100,100,0.05,43.0,1.4770910739898682
85,100,100,0.1,31.0,1.6076977252960205
85,100,100,0.2,36.0,1.9786791801452637
85,100,200,0.05,57.0,3.190504550933838
85,100,200,0.1,33.0,3.497685670852661
85,100,200,0.2,31.0,3.6522703170776367
90,100,100,0.05,56.0,1.556835412979126
90,100,100,0.1,39.0,1.9029130935668945
90,100,100,0.2,36.0,2.664879083633423
90,100,200,0.05,57.0,3.6601829528808594
90,100,200,0.1,33.0,3.5156023502349854
90,100,200,0.2,31.0,3.9920494556427
95,100,100,0.05,56.0,1.6974561214447021
95,100,100,0.1,39.0,1.8221676349639893
95,100,100,0.2,36.0,2.0704431533813477
95,100,200,0.05,57.0,3.728029727935791
95,100,200,0.1,33.0,3.6127333641052246
95,100,200,0.2,31.0,3.834725856781006
100,100,100,0.05,57.0,1.7333648204803467
100,100,100,0.1,39.0,1.8719992637634277
100,100,100,0.2,36.0,2.0585296154022217
100,100,200,0.05,66.0,3.434816360473633
100,100,200,0.1,33.0,3.6532304286956787
100,100,200,0.2,31.0,4.2167158126831055
105,100,100,0.05,57.0,2.2040703296661377
105,100,100,0.1,39.0,2.1831912994384766
105,100,100,0.2,36.0,2.2998881340026855
105,100,200,0.05,66.0,3.5276033878326416
105,100,200,0.1,33.0,4.2247278690338135
105,100,200,0.2,31.0,4.832071304321289
110,100,100,0.05,57.0,1.991671085357666
110,100,100,0.1,39.0,2.1901590824127197
110,100,100,0.2,36.0,2.6469178199768066
110,100,200,0.05,66.0,5.122875928878784
110,100,200,0.1,33.0,4.777222633361816
110,100,200,0.2,31.0,4.867599725723267
115,100,100,0.05,57.0,2.0016121864318848
115,100,100,0.1,39.0,2.443424701690674
115,100,100,0.2,36.0,2.397625207901001
115,100,200,0.05,66.0,4.4910290241241455
115,100,200,0.1,33.0,4.510210752487183
115,100,200,0.2,31.0,5.139729738235474
120,100,100,0.05,57.0,2.704918622970581
120,100,100,0.1,39.0,2.6978816986083984
120,100,100,0.2,36.0,2.731013059616089
120,100,200,0.05,66.0,4.064989328384399
120,100,200,0.1,33.0,4.30744194984436
120,100,200,0.2,31.0,5.283870697021484
125,100,100,0.05,66.0,2.070500612258911
125,100,100,0.1,39.0,2.386396884918213
125,100,100,0.2,36.0,2.578545570373535
125,100,200,0.05,66.0,4.208748817443848
125,100,200,0.1,33.0,3.766928195953369
125,100,200,0.2,31.0,5.053493499755859
130,100,100,0.05,66.0,2.229039430618286
130,100,100,0.1,39.0,2.3955941200256348
130,100,100,0.2,36.0,2.6070291996002197
130,100,200,0.05,66.0,4.4839959144592285
130,100,200,0.1,33.0,4.009316682815552
130,100,200,0.2,31.0,6.460289001464844
135,100,100,0.05,66.0,2.3854246139526367
135,100,100,0.1,39.0,2.740309000015259
135,100,100,0.2,36.0,2.7561678886413574
135,100,200,0.05,66.0,4.927958011627197
135,100,200,0.1,33.0,4.380197763442993
135,100,200,0.2,31.0,7.4209535121917725
140,100,100,0.05,66.0,5.449967861175537
140,100,100,0.1,39.0,2.9777095317840576
140,100,100,0.2,36.0,3.145859479904175
140,100,200,0.05,66.0,5.083420276641846
140,100,200,0.1,33.0,4.013267993927002
140,100,200,0.2,31.0,7.602907657623291
145,100,100,0.05,66.0,3.261509418487549
145,100,100,0.1,39.0,3.014763355255127
145,100,100,0.2,36.0,3.6639630794525146
145,100,200,0.05,66.0,6.250088453292847
145,100,200,0.1,33.0,5.22011399269104
145,100,200,0.2,31.0,7.986592531204224
150,100,100,0.05,66.0,3.5273799896240234
150,100,100,0.1,39.0,3.5750174522399902
150,100,100,0.2,36.0,3.4102392196655273
150,100,200,0.05,66.0,5.045424222946167
150,100,200,0.1,33.0,4.033310413360596
150,100,200,0.2,31.0,6.107632637023926
155,100,100,0.05,66.0,2.5801007747650146
155,100,100,0.1,39.0,2.8353419303894043
155,100,100,0.2,36.0,2.9012444019317627
155,100,200,0.05,66.0,4.98096227645874
155,100,200,0.1,33.0,3.8536951541900635
155,100,200,0.2,31.0,6.345072269439697
160,100,100,0.05,66.0,2.5850882530212402
160,100,100,0.1,39.0,2.9062294960021973
160,100,100,0.2,36.0,2.832430362701416
