iterations,max_attempts,pop,keep-pct,best_fitness,time
5,100,200,0.15,43.0,0.40615296363830566
5,100,200,0.2,43.0,0.42177724838256836
5,100,200,0.25,33.0,0.4373972415924072
5,120,200,0.15,43.0,0.43743062019348145
5,120,200,0.2,43.0,0.40612125396728516
5,120,200,0.25,33.0,0.4373972415924072
10,100,200,0.15,43.0,0.7654449939727783
10,100,200,0.2,43.0,0.7498576641082764
10,100,200,0.25,42.0,0.7654106616973877
10,120,200,0.15,43.0,0.7654440402984619
10,120,200,0.2,43.0,0.7810673713684082
10,120,200,0.25,42.0,0.8123087882995605
15,100,200,0.15,43.0,1.0779144763946533
15,100,200,0.2,43.0,1.0934832096099854
15,100,200,0.25,42.0,1.1559457778930664
15,120,200,0.15,43.0,1.109114646911621
15,120,200,0.2,43.0,1.0935263633728027
15,120,200,0.25,42.0,1.1216602325439453
20,100,200,0.15,43.0,1.5152685642242432
