iterations,max_attempts,restarts,best_fitness,time
5,100,50,21.0,0.04288482666015625
5,100,100,21.0,0.09973335266113281
10,100,50,27.0,0.0827794075012207
10,100,100,35.0,0.15358543395996094
15,100,50,28.0,0.11070513725280762
15,100,100,30.0,0.2303624153137207
20,100,50,33.0,0.14164233207702637
20,100,100,33.0,0.2822456359863281
25,100,50,32.0,0.17649340629577637
25,100,100,37.0,0.3451268672943115
30,100,50,39.0,0.20245933532714844
30,100,100,39.0,0.39991140365600586
35,100,50,33.0,0.24135589599609375
35,100,100,35.0,0.4587717056274414
40,100,50,40.0,0.26329708099365234
40,100,100,40.0,0.5255916118621826
45,100,50,43.0,0.2982010841369629
45,100,100,43.0,0.5944130420684814
50,100,50,38.0,0.3201417922973633
50,100,100,42.0,0.640286922454834
55,100,50,43.0,0.3480679988861084
55,100,100,43.0,0.6961393356323242
60,100,50,44.0,0.3749985694885254
60,100,100,45.0,0.7519857883453369
65,100,50,43.0,0.3999316692352295
65,100,100,43.0,0.7968685626983643
70,100,50,66.0,0.4308452606201172
70,100,100,66.0,0.8507256507873535
75,100,50,57.0,0.46475672721862793
75,100,100,57.0,0.8995966911315918
80,100,50,66.0,0.47972559928894043
80,100,100,66.0,0.95444655418396
85,100,50,56.0,0.5076367855072021
85,100,100,56.0,1.009303331375122
90,100,50,50.0,0.5325729846954346
90,100,100,57.0,1.0601751804351807
95,100,50,57.0,0.5704741477966309
95,100,100,57.0,1.1060380935668945
100,100,50,57.0,0.5904273986816406
100,100,100,66.0,1.1838693618774414
105,100,50,50.0,0.609370231628418
105,100,100,50.0,1.2017858028411865
110,100,50,57.0,0.6313073635101318
110,100,100,57.0,1.26265549659729
115,100,50,56.0,0.6712028980255127
115,100,100,66.0,1.3414242267608643
120,100,50,57.0,0.7021536827087402
120,100,100,66.0,1.369337797164917
125,100,50,66.0,0.7280547618865967
125,100,100,66.0,1.4062397480010986
130,100,50,66.0,0.741018533706665
130,100,100,66.0,1.5877633094787598
135,100,50,66.0,0.9255259037017822
135,100,100,66.0,1.8570520877838135
140,100,50,57.0,0.9693713188171387
140,100,100,66.0,1.8600263595581055
145,100,50,66.0,0.9704053401947021
145,100,100,66.0,2.0565032958984375
150,100,50,66.0,1.2007884979248047
150,100,100,66.0,2.2629852294921875
155,100,50,66.0,1.0232253074645996
155,100,100,66.0,2.376647472381592
160,100,50,66.0,1.2496583461761475
160,100,100,66.0,2.4833598136901855
165,100,50,66.0,1.1419446468353271
165,100,100,66.0,2.1412744522094727
170,100,50,66.0,1.1170134544372559
170,100,100,66.0,2.223095655441284
175,100,50,66.0,1.1409552097320557
175,100,100,66.0,2.2659223079681396
180,100,50,66.0,1.1998283863067627
180,100,100,66.0,2.3177714347839355
185,100,50,66.0,1.1638877391815186
185,100,100,66.0,2.526247262954712
190,100,50,66.0,1.4441382884979248
190,100,100,66.0,2.8374135494232178
195,100,50,66.0,1.488020896911621
195,100,100,66.0,2.860352039337158
200,100,50,66.0,1.475055456161499
200,100,100,66.0,2.9191949367523193
205,100,50,66.0,1.4630870819091797
205,100,100,66.0,2.962080240249634
210,100,50,66.0,1.3992936611175537
210,100,100,66.0,2.581089735031128
215,100,50,66.0,1.3344390392303467
215,100,100,66.0,2.5800626277923584
220,100,50,66.0,1.3483943939208984
220,100,100,66.0,2.6439473628997803
225,100,50,66.0,1.3254165649414062
225,100,100,66.0,2.660885810852051
230,100,50,66.0,1.3613600730895996
230,100,100,66.0,2.7087574005126953
235,100,50,66.0,1.4421439170837402
235,100,100,66.0,2.898252487182617
240,100,50,66.0,1.643604040145874
240,100,100,66.0,2.750645637512207
245,100,50,66.0,1.3703360557556152
245,100,100,66.0,2.808490514755249
