iterations,max_attempts,schedule,best_fitness,time
5,150,geom,16.0,0.0019953250885009766
5,150,exp,16.0,0.001979827880859375
5,150,arith,16.0,0.0009613037109375
10,150,geom,19.0,0.0019931793212890625
10,150,exp,19.0,0.0020334720611572266
10,150,arith,19.0,0.0019943714141845703
15,150,geom,25.0,0.003027200698852539
15,150,exp,25.0,0.003025531768798828
15,150,arith,25.0,0.0029926300048828125
20,150,geom,25.0,0.0039882659912109375
20,150,exp,25.0,0.003987312316894531
20,150,arith,25.0,0.0040209293365478516
25,150,geom,25.0,0.003991842269897461
25,150,exp,25.0,0.004990100860595703
25,150,arith,25.0,0.0049855709075927734
30,150,geom,27.0,0.0059795379638671875
30,150,exp,27.0,0.0059893131256103516
30,150,arith,27.0,0.004992485046386719
35,150,geom,29.0,0.0059833526611328125
35,150,exp,29.0,0.006994009017944336
35,150,arith,29.0,0.006978511810302734
40,150,geom,32.0,0.007977962493896484
40,150,exp,32.0,0.007979631423950195
40,150,arith,32.0,0.0069828033447265625
45,150,geom,32.0,0.008018016815185547
45,150,exp,32.0,0.007939338684082031
45,150,arith,32.0,0.007972240447998047
50,150,geom,32.0,0.00798177719116211
50,150,exp,32.0,0.00898432731628418
50,150,arith,32.0,0.007977962493896484
55,150,geom,39.0,0.009019851684570312
55,150,exp,39.0,0.009969949722290039
55,150,arith,39.0,0.009007453918457031
60,150,geom,39.0,0.009972810745239258
60,150,exp,39.0,0.0109710693359375
60,150,arith,39.0,0.009973526000976562
65,150,geom,39.0,0.0109710693359375
65,150,exp,39.0,0.010971546173095703
65,150,arith,39.0,0.009970903396606445
70,150,geom,39.0,0.010972738265991211
70,150,exp,39.0,0.01196742057800293
70,150,arith,39.0,0.010970115661621094
75,150,geom,39.0,0.010931730270385742
75,150,exp,39.0,0.01196432113647461
75,150,arith,39.0,0.011967658996582031
80,150,geom,43.0,0.01296377182006836
80,150,exp,43.0,0.012961387634277344
80,150,arith,43.0,0.011989116668701172
85,150,geom,43.0,0.012964010238647461
85,150,exp,43.0,0.012963533401489258
85,150,arith,43.0,0.01296544075012207
90,150,geom,43.0,0.012969493865966797
90,150,exp,43.0,0.013958454132080078
90,150,arith,40.0,0.013997316360473633
95,150,geom,48.0,0.013963460922241211
95,150,exp,48.0,0.013963460922241211
95,150,arith,48.0,0.013998746871948242
100,150,geom,47.0,0.014960050582885742
100,150,exp,47.0,0.014954566955566406
100,150,arith,47.0,0.013923406600952148
105,150,geom,47.0,0.01595616340637207
105,150,exp,47.0,0.015988826751708984
105,150,arith,47.0,0.014991998672485352
110,150,geom,47.0,0.015959739685058594
110,150,exp,47.0,0.015921831130981445
110,150,arith,47.0,0.015961885452270508
115,150,geom,47.0,0.01591968536376953
115,150,exp,47.0,0.016954898834228516
115,150,arith,47.0,0.017984390258789062
120,150,geom,48.0,0.01695418357849121
120,150,exp,48.0,0.018950462341308594
120,150,arith,48.0,0.02592778205871582
125,150,geom,49.0,0.018949270248413086
125,150,exp,49.0,0.018949270248413086
125,150,arith,49.0,0.01795172691345215
130,150,geom,49.0,0.019986629486083984
130,150,exp,49.0,0.019951343536376953
130,150,arith,48.0,0.019972562789916992
135,150,geom,49.0,0.019938230514526367
135,150,exp,49.0,0.020976543426513672
135,150,arith,48.0,0.019954919815063477
140,150,geom,49.0,0.019947052001953125
140,150,exp,49.0,0.020949363708496094
140,150,arith,48.0,0.019984960556030273
145,150,geom,49.0,0.019946813583374023
145,150,exp,49.0,0.02097940444946289
145,150,arith,48.0,0.021979570388793945
150,150,geom,49.0,0.02193450927734375
150,150,exp,49.0,0.0219724178314209
150,150,arith,48.0,0.02190685272216797
155,150,geom,49.0,0.0209808349609375
155,150,exp,49.0,0.022904396057128906
155,150,arith,48.0,0.026929140090942383
160,150,geom,50.0,0.021941661834716797
160,150,exp,50.0,0.02296757698059082
160,150,arith,48.0,0.02393817901611328
165,150,geom,57.0,0.02197551727294922
165,150,exp,57.0,0.02293872833251953
165,150,arith,57.0,0.022942781448364258
170,150,geom,57.0,0.02194356918334961
170,150,exp,57.0,0.023955345153808594
170,150,arith,57.0,0.022940874099731445
175,150,geom,57.0,0.0239713191986084
175,150,exp,57.0,0.023940086364746094
175,150,arith,57.0,0.023967981338500977
180,150,geom,57.0,0.02292037010192871
180,150,exp,57.0,0.02393937110900879
180,150,arith,57.0,0.022945642471313477
185,150,geom,57.0,0.022940874099731445
185,150,exp,57.0,0.02397322654724121
185,150,arith,57.0,0.023922443389892578
190,150,geom,57.0,0.023937702178955078
190,150,exp,57.0,0.024936199188232422
190,150,arith,57.0,0.023932933807373047
195,150,geom,57.0,0.023897409439086914
195,150,exp,57.0,0.025966405868530273
195,150,arith,57.0,0.023931503295898438
200,150,geom,57.0,0.02395033836364746
200,150,exp,57.0,0.025931596755981445
200,150,arith,57.0,0.024930477142333984
205,150,geom,57.0,0.02593374252319336
205,150,exp,57.0,0.026929140090942383
205,150,arith,56.0,0.026927709579467773
210,150,geom,57.0,0.025929927825927734
210,150,exp,57.0,0.026928186416625977
210,150,arith,56.0,0.026922941207885742
215,150,geom,57.0,0.02596592903137207
215,150,exp,57.0,0.02689075469970703
215,150,arith,56.0,0.02695918083190918
220,150,geom,57.0,0.026957988739013672
220,150,exp,57.0,0.026920557022094727
220,150,arith,56.0,0.0269317626953125
225,150,geom,57.0,0.026922941207885742
225,150,exp,57.0,0.027918577194213867
225,150,arith,56.0,0.027962923049926758
230,150,geom,57.0,0.0278928279876709
230,150,exp,57.0,0.027922630310058594
230,150,arith,56.0,0.02791595458984375
235,150,geom,57.0,0.027921199798583984
235,150,exp,57.0,0.028940916061401367
235,150,arith,56.0,0.02792215347290039
240,150,geom,57.0,0.028926849365234375
240,150,exp,57.0,0.029919147491455078
240,150,arith,56.0,0.027925729751586914
245,150,geom,57.0,0.03387141227722168
245,150,exp,57.0,0.0359041690826416
245,150,arith,56.0,0.03490638732910156
